ID,Artist,Title,Medium,Description,Details,Size,Category,Owner,Distributed,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK
21,"Natali, Renato",Seascape With Figures,Oil on Canvas,Oil on Canvas; acquired from G. Veneziano; size = 120x80cm (#21),Painted in 1940,120x80cm unframed,Fine Art,Bill,2021,Portland,G. Veneziano,Completed,22000,"$22,000.00",22000,1989,76,21
22,"Picasso, Pablo",Blind Minotaur,Etching signed,"Etching signed, Full title: ""Blind Minotaur Guided in the Night by a Little Girl with a Pigeon""; acquired from Allied Collection; size = 24x30cm; insured (#22)","Full title: ""Blind Minotaur Guided in the Night by a Little Girl with a Pigeon""
Acquired for $7000 in 1988; appraised at $8000 in 1989",24x30cm,Fine Art,Bill,2021,Portland,Allied Collection,Completed,8000,"$19,500.00",19500,1988,11,22
23,"Gasser, Carl",Portrait of Mary,Silver Leaf on Wood Frame,Oil on Canvas; acquired from Artist; size = 28x22 ft; insured (#23),NA,28x22 ft,Fine Art,Cathy,2021,Portland,Artist,Completed,4500,"$4,500.00",4500,1987,65,23
24,"Gasser, Carl",Old Man & Rose,Watercolor,Watercolor; acquired from Artist; size = 29x22 in (#24),NA,29x22 in,Fine Art,Chris,2021,Portland,Artist,Completed,3000,"$3,000.00",NA,1985,58,24
25,"Natali, Renato",Seascape,Oil on Board,Oil on Board; acquired from G. Veneziano; size = 25x20cm; insured (#25),Painted in 1935,25x20cm,Fine Art,Bill,2021,Portland,G. Veneziano,Completed,2000,"$2,000.00",NA,1989,75,25
26,"Natali, Renato",Vessel,Oil on Board,Oil on Board; acquired from G. Veneziano; size = 25x20cm (#26),"Painted in 1935
From Veneziano Via Del Foss, '56
Florence, Italy",25x20cm,Fine Art,Bill,2021,Portland,G. Veneziano,Completed,2000,"$2,000.00",NA,1989,104,26
27,"Gasser, Carl",New York in Blue,Watercolor,NA,NA,21x29 in,NA,NA,,Scottsdale,Artist,NA,2000,NA,NA,NA,NA,27
28,"Gasser, Carl",Girl in Apron,Watercolor,Watercolor; acquired from Artist; size = 12x7 in (#28),NA,12x7 in,Fine Art,Jean,2021,Portland,Artist,Completed,1250,"$1,250.00",NA,1988,40,28
29,"Murrill, Gwynn",Bronze Sitting Cat 96,Bronze,Bronze; acquired from Severn; size = 20x20x10; insured (#29),NA,20x20x10,Fine Art,Bob,2025,Scottsdale,Severn,Divide,9500,"$7,800.00",9500,1997,16,29
30,"Murrill, Gwynn",Triangle Cat,Bronze,Bronze; acquired from Severn; size = 8x28x15; insured (#30),NA,8x28x15,Fine Art,Bill,2025,Scottsdale,Severn,Divide,8500,"$7,800.00",8500,1992,95,30
31,"Newell, Bruce",Bronze Table,Bronze,"Bronze; acquired from Anne Reed; 30 high, 14 deep, 60 long; insured (#31)",NA,NA,Fine Art,Jean,2025,Scottsdale,Anne Reed,Divide,6500,"$2,200.00",6500,1997,17,31
32,"Rude, Brad",Emergence of Form,Oil on Board,Oil on Board; acquired from Severn; size = 63x43; insured (#32),NA,63x43,Fine Art,Kevin,2025,Scottsdale,Severn,Divide,4300,"$4,300.00",4300,1996,31,32
33,Mason,September Bouquet,Acrylic,"Acrylic, Acrylic on Canvas; acquired from Severn; size = 42x36; insured (#33)",Acrylic on Canvas,42x36,Fine Art,Jean,2025,Scottsdale,Severn,Divide,3850,"$3,850.00",3850,1994,77,33
35,"Coignard, James",Presence,Carborundum Gravure with Collage,Carbor Print; size = 46x36 framed; acquired from Nahan Galleries (#35),"#27 of 75
C31985",100cm x 75cm,Fine Art,Bill,2025,Scottsdale,Nahan Galleries,Divide,3000,"$3,000.00",NA,1995,66,35
36,"Erlebacher, Martha",Still Life Supreme '83,Watercolor on Paper,"Watercolor on Paper, Watercolor on Paper; also available is the gallery poster featuring this work (currently with Bill); acquired from Janns; insured (#36)
It appears the cost basis was $2950",Watercolor on Paper; also available is the gallery poster featuring this work (currently with Bill),NA,Fine Art,Kevin,2021,Portland,Janns,Completed,2950,"$7,000.00",7000,1997,85,36
37,"Horejs, John",Boise Valley Summer,Oil on Canvas,"Oil on Canvas, Dimensions approximate; acquired from Brown; size = 18x58 (#37)",Dimensions approximate,18x58,Fine Art,NA,,Portland,Brown,Completed,2500,"$2,500.00",NA,1994,13,37
38,Dewey,Mt Hood,Oil,Oil; acquired from Artist (#38),NA,NA,Fine Art,NA,,Scottsdale,Artist,Stays,2400,NA,NA,1992,54,38
39,"Cooper, Kelly",Evening Drink,Oil,"Oil, Oil, Pastel, Acrylic; acquired from Artist; size = 30x44 (#39)","Oil, Pastel, Acrylic",30x44,Fine Art,Chris,2021,Portland,Artist,Completed,2300,"$2,300.00",NA,1995,32,39
40,Jensen,Double Blue Wave,Oil on Steel,"Oil on Steel,  5ft long; acquired from Friesen; size = 5 ft (#40)","Spirally steel sculpture in back, had some maintenance done on it",5 ft,Fine Art,Bill,2025,Scottsdale,Friesen,Divide,0,NA,NA,1997,29,40
41,"Papart, Max",Janus,Carborundum Print,Carborundum Print; size = 37x29 framed; acquired from Nahan Galleries (#41),NA,NA,Fine Art,Bill,2025,Scottsdale,Nahan Galleries,Divide,1800,"$1,800.00",NA,1995,46,41
42,Frank,Things Rising and Falling,Mixed,Mixed; acquired from Broschofsky; size = 26x37 (#42),NA,26x37,Fine Art,Cathy,2025,Scottsdale,Broschofsky,Divide,1800,"$1,800.00",NA,1994,91,42
43,"Spyratos, Alexi",Giraffe,Acrylic,Acrylic; acquired from Mt Kenya Art Gallery (#43),NA,NA,Fine Art,Chris,2021,Portland,Mt Kenya Art Gallery,Completed,1500,"$1,500.00",NA,1992,39,43
44,"Merrill, Andea",Pieces (Pair),Mixed Media,"Mixed Media, Mixed; acquired from Stewart (#44)",Mixed,NA,Fine Art,Bill,2021,Portland,Stewart,Completed,1400,"$1,400.00",NA,1993,62,44
45,"Tahbo, Mark",Kachina Mask Bowl,Pottery,"Pottery, Hopi; acquired from King (Scottsdale); size = 7x3 1/2 (#45);",Hopi,7x3 1/2,Fine Art,Kevin,2025,Scottsdale,King (Scottsdale),Divide,1215,"$1,215.00",NA,1998,47,45
46,"Bloomdahl, Sonja",Glass Vase,Blown Glass,Blown Glass; acquired from BAM; size = 15 in; insured (#46),NA,15 in,Fine Art,Kevin,2025,Scottsdale,BAM,Divide,8000,"$4,900.00",8000,2002,110,46
47,"Schwartz, David",Untitled,Blown Glass,"Blown Glass, Glass Sphere; acquired from BAM; size = 13 in; insured (#47)",Glass Sphere,13 in,Fine Art,Cathy,2025,Scottsdale,BAM,Divide,7800,"$4,900.00",7800,2002,111,47
48,"Neff, Eileen",Almost #3,Photograph,Photograph; acquired from Locks Gallery PA; size = 56x41; insured (#48),NA,56x41,Fine Art,Cathy,2025,Scottsdale,Locks Gallery PA,Divide,6000,"$2,400.00",6000,2002,3,48
49,"Zapponi, Michael",Abstract School,Metal Sculpture,"Metal Sculpture, Four six ft pieces with mounting brackets and one 3 ft piece with wire for hanging.

Three of the pieces were appraised and insured, possibly $4000 for all three?  Acquired from Zapponi Commission; Part of a set; Bill has 2; size = 2.5 ftx6.0 ft; insured (#49)",Three pieces appraised and insured,2.5 ftx6.0 ft,Fine Art,NA,,Scottsdale,Zapponi Commission -- 7 or 8 fish?  Bill has 2,Completed,10000,"$4,000.00",4000,2000,2,49
50,"Almont, David",Cat Boy,Oil,NA,NA,NA,NA,NA,,Scottsdale,Stewart,NA,500,NA,NA,NA,NA,50
51,Matteson,Squirrel,Bronze,Bronze; acquired from Matteson; size = 6 in (#51),NA,6 in,Fine Art,Bill,2025,Scottsdale,Matteson,Divide,1200,"$1,200.00",NA,2002,81,51
52,"Fellini, Melinda",Purple,Oil on Canvas,Oil on Canvas; acquired from Xanadu Gallery; size = 12x18 (#52),NA,12x18,Fine Art,Chris,2025,Scottsdale,Xanadu Gallery,Divide,900,$900.00,NA,2003,88,52
53,"Fellini, Melinda",Blue,Oil on Canvas,Oil on Canvas; acquired from Xanadu Gallery; size = 12x19 (#53),NA,12x19,Fine Art,Chris,2025,Scottsdale,Xanadu Gallery,Divide,900,$900.00,NA,2003,87,53
54,"Fellini, Melinda",Yellow,Oil on Canvas,Oil on Canvas; acquired from Xanadu Gallery; size = 12x20 (#54),NA,12x20,Fine Art,Kevin,2025,Scottsdale,Xanadu Gallery,Divide,900,$900.00,NA,2003,89,54
55,"Fellini, Melinda",Red Sycamore,Oil on Canvas,Oil on Canvas; acquired from Xanadu Gallery; size = 24x36; insured (#55),NA,24x36,Fine Art,Chris,2025,Scottsdale,Xanadu Gallery,Divide,3750,"$1,200.00",3750,2003,70,55
56,"Price, Gary",Nature's Friend Frog,Bronze,Bronze; acquired from Xanadu Gallery; size = 4 ft; insured (#56),NA,4 ft,Fine Art,NA,,Scottsdale,Xanadu Gallery,Stays,8700,"$1,680.00",8700,2003,55,56
57,"Witkin, Isaac",Hawthorne Tree III,Bronze,"Bronze; acquired from Witkin; size = 18 in; insured (#57)
Could this be overvalued??",NA,18 in,Fine Art,Jean,2025,Scottsdale,Witkin,Divide,11500,"$4,300.00",11500,2002,42,57
58,"Wilde, Stephani",Angels With Golden Pears,Mixed,NA,NA,NA,NA,NA,,Portland,Stewart Gallery,NA,3200,NA,NA,NA,NA,58
60,"Salk, David",Apache Tray Basket,Ceramic,NA,NA,15 in round,NA,NA,,Scottsdale,Art America,NA,1000,NA,NA,NA,NA,60
61,"Jordon, Lorraine",Couleurs d'Automne,Oil on Canvas,Oil on Canvas; acquired from Brennan Gallery AZ; size = 13x19 (#61),NA,13x19,Fine Art,Chris,2025,Scottsdale,Brennan Gallery AZ,Divide,1575,"$1,575.00",NA,2003,21,61
62,"Sable, Suzzane",Good Morning Kiss,Bronze,"Bronze horses; acquired from Brennan Gallery AZ; size = 30 in; insured (#62)
https://www.worthpoint.com/worthopedia/suzanne-sable-horses-bronze-sculpture-1753475336",NA,30 in,Fine Art,Cathy,2025,Scottsdale,Brennan Gallery AZ,Divide,7750,"$1,800.00",7750,2003,41,62
63,"Woodward, Joeseph",Totem,Ceramic,Ceramic; acquired from Woodward; size = 5.0 ft (#63),NA,5.0 ft,Fine Art,NA,,Scottsdale,Woodward,Stays,1600,"$1,600.00",NA,2003,94,63
64,"Safarick, Leslie",Three ceramic ladies,Ceramic,"Ceramic, 3 ceramic ladies; acquired from Bonner Gallery; size = 24 in (#64)",3 ceramic ladies,24 in,Fine Art,Cathy,2025,Scottsdale,Bonner Gallery,Divide,2800,"$2,800.00",NA,2003,78,64
65,"Adams, Victoria",Things about Sky #43,Oil on Canvas,Oil on Canvas; acquired from Leach Gallery; size = 12x12 (#65),NA,12x12,Fine Art,Jean,2021,Portland,Leach Gallery,Completed,2500,"$2,500.00",NA,2003,90,65
66,"Fellini, Melinda",Dawn,Oil on Board,Oil on Board; acquired from Xanadu  Gallery; size = 30 inx24 in (#66),NA,30 inx24 in,Fine Art,Cathy,2021,Portland,Xanadu  Gallery,Completed,3250,"$3,250.00",NA,2005,28,66
67,"Goodacre, Glenna",Rio,Bronze,"Bronze, Edition 17 of 25; acquired from Nedra Matucci (NM); size = 24x25x11; insured (#67)",Edition 17 of 25,24x25x11,Fine Art,Jean,2021,Portland,Nedra Matucci (NM),Completed,7600,"$7,600.00",7600,2006,72,67
68,"Burt, Robert",Mexican Road Trip,Acrylic,"Acrylic; no frame, black border; acquired from Xanadu  Gallery; size = 48x48; insured (#68)",NA,48x48,Fine Art,Cathy,2025,Scottsdale,Xanadu  Gallery,Divide,5250,"$4,700.00",5250,2007,51,68
69,"Rapp, Shelley",Indigo blue,Fiber Sculpture,Fiber Sculpture; acquired from Artist (#69),NA,NA,Fine Art,NA,,Scottsdale,Artist,Stays,2051,"$2,051.00",NA,2007,45,69
70,"Fellini, Melinda",Red Mountain Meadow,Oil on Canvas,Oil on Canvas; acquired from Xanadu; size = 48x36; insured (#70),NA,48x36,Fine Art,Chris,2021,Portland,Xanadu,Completed,6000,"$6,000.00",6000,2003,68,70
71,"Moosman, Kerry",(3) Terra Cotta Vessels,Sculpture,"Pottery, located on glass shelves on east side of living room
Acquired from Stewart Gallery (#71)
https://kerrymoosman.com/section/482213-Ceramics.html",NA,NA,Fine Art,Jean,2025,Scottsdale,Stewart Gallery,Divide,1400,"$1,400.00",NA,2004,1,71
72,"Stewart, Joel",Dragon Vase with Constellation,Watercolor,Giant framed watercolor; acquired from Artist; size = 78x26; insured (#72),NA,78x26,Fine Art,Cathy,2025,Scottsdale,Artist,Divide,6200,"$2,500.00",6200,2006,30,72
73,"Fonseca, Caio",Dark Stripe,"Color spitbite, aquatint & soapgroujnd","Aquatint, 20/30; acquired from Addison/Ripley (DC); size = 33x41 (#73)",#20/30,33x41,Fine Art,Jean,2025,Portland,Addison/Ripley (DC),Divide,2600,"$2,600.00",NA,2004,27,73
101,"Cooper, Kelly",Fall Sheep Migration,Pastel,Pastel; acquired from Janns; size = 27x31 (#101),NA,27x31,Fine Art,Kevin,2021,Portland,Janns,Completed,950,$950.00,NA,1997,33,101
102,"Cooper, Kelly",Angel 1995,Oil on Paper,Oil on Paper; size = 24x19; acquired from Janns (#102),NA,NA,Fine Art,Jean,2025,Scottsdale,Janns,Divide,950,$950.00,NA,1996,5,102
103,"Budnick, George",Georgia O'Keefe Photo,Photograph,"Photograph, Portrait; acquired from Bishop (Scottsdale) (#103)",Portrait,NA,Fine Art,Bob,2021,Portland,Bishop (Scottsdale),Completed,860,$860.00,NA,1998,38,103
104,Snellman,Wolf,Mixed,NA,NA,NA,NA,NA,,Scottsdale,Sun Valley Center,NA,850,NA,NA,NA,NA,104
105,Mathews,Runaway,Iris Print,Iris Print 9; acquired from Broschofsky; size = 30x13 (#105),Iris Print 9,30x13,Fine Art,Jean,2025,Scottsdale,Broschofsky,Divide,795,$795.00,NA,1994,73,105
106,"Cooper, Kelly",Tuscan House,Pastel,Pastel; size = 11x13 (#200),NA,11x13,Fine Art,Jean,2021,Portland,NA,Completed,750,$650.00,NA,NA,59,106
107,"Cooper, Kelly",Tulip in Majesty 95,Pastel,Pastel; size = 21x14; acquired from Janns (#107),NA,NA,Fine Art,Cathy,2025,Scottsdale,Janns,Divide,650,$650.00,NA,1997,96,107
108,Mathews,Gathering Gear,Iris Print,"Iris Print, Iris Print 27; acquired from Broschofsky; size = 17x15 (#108)",Iris Print 27,17x15,Fine Art,Chris,2025,Scottsdale,Broschofsky,Divide,595,$595.00,NA,1994,36,108
109,"Gartwaite, Ernest",Mohegan Spirit I & IV,Oil on Wood,"Oil on Wood, two works, unframed on curved wood; acquired from Severn; size = 10x14 (#109)","two works, unframed on curved wood",10x14,Fine Art,Jean,2021,Portland,Severn,Completed,1100,"$1,100.00",NA,1992,52,109
111,Mathews,Mosey,Iris Print,"Iris Print, Iris Print 34; acquired from Borschofsky; size = 10x15 (#111)",Iris Print 34,10x15,Fine Art,Chris,2025,Scottsdale,Borschofsky,Divide,375,$375.00,NA,1994,53,111
112,"Burt, Robert",Conversation,Acrylic,Acrylic; acquired from Xanadu; size = 28x22 (#112),NA,28x22,Fine Art,Jean,2025,Scottsdale,Xanadu,Divide,1350,"$1,300.00",NA,2005,20,112
113,"Jones, Benjamin",Untitled,Mixed,Mixed; acquired from Stewart Gallery (#113),NA,NA,Fine Art,Jean,2025,Scottsdale,Stewart Gallery,Divide,900,$900.00,NA,2004,102,113
114,"Carlson, George",Ballerina,Bronze,Bronze; acquired from Artist Studio; size = 25 in (#114),NA,25 in,Fine Art,Bill,2021,Portland,Artist Studio,Completed,8000,"$8,000.00",NA,2005,9,114
115,"Carlson, George",Emily Standing,Bronze,"Bronze; acquired from Artist Studio; also referred to as ""Ballerina II""

size = 22 inches tall, base = 10x8.5"" (#115)",NA,25 in,Fine Art,Bill,2025,Scottsdale,Artist Studio,Divide,8000,"$4,000.00",NA,2005,10,115
116,"Carlson, George",Horses,Bronze,Bronze; acquired from Artist Studio; size = 7 1/2 in (#116),NA,7 1/2 in,Fine Art,Bill,2021,Portland,Artist Studio,Completed,2800,"$2,800.00",NA,2005,44,116
201,Hook,Water Under spirit Mountain,Acrylic,"Acrylic; acquired from Carson Gallery, Denver; size = 12x12 (#201)",NA,12x12,Fine Art,Chris,2021,Portland,"Carson Gallery, Denver",Completed,1150,"$1,150.00",NA,NA,105,201
202,"Kayser, Chris (son)",Pumpkin,NA,; acquired from St. Pius X (#202),NA,NA,Fine Art,Chris,2021,Portland,St. Pius X,Completed,5,$11.00,NA,NA,67,202
203,"Wood, Karen",Untitled,Acrylic,Acrylic; acquired from Childrens Museum; size = 6x6 (#203),NA,6x6,Fine Art,Jean,2021,Portland,Childrens Museum,Completed,NA,NA,NA,NA,103,203
204,"Bernstein, Donna",Lascaux,Mixed,"Mixed, Mixed media acrylics, ink on fine watercolor paper, custom framed; have certificates of authenticity; acquired from Celebration of Fine Art/Donna B Fine Art (#204)","Mixed media acrylics, ink on fine watercolor paper, custom framed; have certificates of authenticity",NA,Fine Art,Jean,2025,Scottsdale,Celebration of Fine Art/Donna B Fine Art,Divide,2000,"$2,000.00",NA,2015,49,204
205,"Martinez, Victor",Hilanderas #1658,Watercolor,"Watercolor, Found in insurance: ""#1658 original watercolor""; insured (#205)","Found in insurance: ""#1658 original watercolor""--painting of Mia?",NA,Fine Art,Cathy,2025,Scottsdale,NA,Divide,9500,$800.00,9500,NA,43,205
206,"Martinez, Victor","painting of girl, Cuzco #1636",Oil,"Oil, Found in insurance; insured (#206)",Found in insurance,NA,Fine Art,Jean,2025,Scottsdale,NA,Divide,5500,$700.00,5500,NA,26,206
207,"Fonseca, Caio",Seven Strings Etching,"Color Spitbite, aquatint, softground","Print 33/50 2001; acquired from Idaho; size = 27x43 (#207); there is another piece by the same artist in Scottsdale, but I still cannot trace the origin.",Print 33/50 2001,27x43,Fine Art,Bill,2021,Portland,David Floria,Completed,2200,"$2,600.00",NA,NA,100,207
208,"Hassan, Farooq",Two Faces in a Picture,Acrylic,Acrylic; acquired from Geezer Gallery; size = 17x14 (#208),NA,17x14,Fine Art,Bill,2021,Portland,Geezer Gallery,Completed,675,$675.00,NA,NA,99,208
212,"Provisor, James",Star Trap and Star Throw,Print,"Prints, Star Trap is 3/15 and has an issue with the framing.  At some point the painting came loose from the mat.  Weirdly, it looks like there is another print behind it.  The frame probably needs to opened up to fix this.

Star Throw is 2/15.

Acquired from Gallery 601 Boise; size = 24x20 framed (#210)",3/15 weird frame; print sits loose in front of something ese,NA,Fine Art,Chris,2021,Portland,Gallery 601 Boise,Completed,NA,NA,NA,NA,83,212
213,Strobline,Untitled,NA,"; acquired from Main Gallery, Boise, ID-59; size = 19x26 (#213)",NA,19x26,Fine Art,Cathy,2021,Portland,"Main Gallery, Boise, ID-59",Completed,NA,NA,NA,NA,114,213
215,"Dine, Jim",Body,Print,"Print, ""BD"" written on sticker.  2/30; acquired from Gallery 601 Boise (#215)","""BD"" written on sticker.  2/30",NA,Fine Art,Jean,2021,Portland,Gallery 601 Boise,Completed,NA,NA,NA,NA,93,215
216,Unknown,Steel yard sculpture,Steel,"Steel, Very heavy steel sculpture, very weathered; size = 38-40"" tall (#216)","Very heavy steel sculpture, very weathered","38-40"" tall",Fine Art,Kevin,2021,Portland,NA,Completed,NA,NA,NA,NA,84,216
217,"De la Vega, Angela Mia",Bronze girl “Joyful”,Bronze,"Bronze, 36/100 (#217)
There are various versions of this piece, “Joyful”.  I think this one is the “mini” which is 13.5” tall.
https://www.delavegastudios.com/artwork/19255-joyful-mini?artistsid=1012","Unreadable signature, ""long as joy..""?, 36/100",NA,Fine Art,Cathy,2021,Portland,NA,Completed,NA,"$3,500.00",NA,NA,14,217
218,Unknown,Bronze horse,Bronze,"Bronze, Hollow; size = 18 high (#218)",Hollow,18 high,Fine Art,Bill,2021,Portland,NA,Completed,NA,NA,NA,NA,15,218
219,"Alvino, B",lady sitting on rock,Metal,"Metal, Cast, maybe bronze but lightweight; size = 10 hight (#219)","Cast, maybe bronze but lightweight",10 hight,Fine Art,Bill,2021,Portland,NA,Completed,NA,$850.00,NA,NA,48,219
220,"Tobiasse, Theo",Man Who Walks on the Ramparts,Print,"Lithogramph, In French says ""those who walk on the jars of a thousand"" (#220).  Found print on ebay selling for $400.  Nahan Galleries.","Unable to read name, in french says ""those who walk on the jars of a thousand""",NA,Fine Art,Bill,2021,Portland,NA,Completed,NA,"$3,500.00",NA,1995,19,220
221,Ridgeway,Analog Clock,NA,Analog table top wind up clock (#221),Analog table top wind up clock,NA,Fine Art,Bill,2021,Portland,NA,Completed,2750,"$1,500.00",NA,NA,4,221
222,Weisse,Cow Prints,Prints,NA,Print of cow with shadow; act now and receive this bonus print of cows grazing,NA,NA,NA,,Portland,NA,NA,NA,NA,NA,NA,NA,222
223,"Earheart, David",Untitled,NA,; size = 14x14 (#223),NA,14x14,Fine Art,Chris,2021,Portland,NA,Completed,NA,NA,NA,NA,116,223
224,Takahara,Plate and Bowl,Ceramic,"Ceramic, Matching Bowl and Plate (#224)",Matching Bowl and Plate,NA,Fine Art,Bill,2021,Portland,NA,Completed,NA,NA,NA,NA,64,224
225,Sherry,Cows and pencil,Mixed media,NA,fun display with little cows and a pencil,11x10,NA,NA,,Portland,NA,NA,NA,NA,NA,NA,NA,225
226,"Cotterill, Tim",Ziggy,Bronze Cast,NA,"Colored Gekko, edition 148 of 1000, original price $1100-$1300","8""",NA,Bill,2025,Scottsdale,NA,Divide,250,NA,NA,NA,176,226
227,"Sedivy, Richard",Pitch Perfect,Oil,"oil and acrylic on wood; size = 23.5x28.5; from Hunsaker/Schlesinger Fine Art, Santa Monica; Peter Blake Gallery, insured (#204)","Found in insurance docs, ""oil and acrylic on wood""",23.5x28.5,Fine Art,Cathy,2025,Scottsdale,NA,Divide,7000,"$2,000.00",7000,NA,63,227
228,"Bernstein, Donna",Field of Dreams,Mixed,"Mixed, Mixed media acrylics, ink on canvas; have certificate of authenticity; acquired from Celebration of Fine Art/Donna B Fine Art; size = 36x48 (#205)","Mixed media acrylics, ink on canvas; have certificate of authenticity",36x48,Fine Art,Jean,2025,Scottsdale,Celebration of Fine Art/Donna B Fine Art,Divide,3000,"$3,000.00",NA,2015,34,228
FS112,"Regan, Laura",Untitled,NA,"Print or watercolor, ID-013; size = 39x34 framed (#209)",NA,NA,Fine Art,Cathy,2021,Portland,NA,Completed,NA,NA,NA,NA,112,NA
FS113,NA,Chinese Mural,NA,size = 55x18 framed (#211),NA,NA,Fine Art,Chris,2021,Portland,NA,Completed,NA,NA,NA,NA,113,NA
FS115,NA,Four Fishes,NA,Print; acquired from ID-60 (#214),NA,NA,Fine Art,Chris,2021,Portland,NA,Completed,NA,NA,NA,NA,115,NA
FS118,NA,Ceramic Jar with Cover,NA,"12"" tall, 8"" wide",NA,NA,Fine Art,Bill,2021,Portland,NA,Completed,NA,NA,NA,NA,118,NA
